,text,lemma,gender,number,animate,count
1,אב,אב,Masc,Sing,True,22219
2,אבא,אבא,Masc,Sing,True,2009
7,אבות,אב,Masc,Plur,True,7390
8,אבותי,אב,Masc,Plur,True,1402
9,אבותיי,אב,Masc,Plur,True,2
20,אבי,אב,Masc,Sing,True,56237
22,אביון,אביון,Masc,Sing,True,36
23,אביונים,אביון,Masc,Plur,True,109
24,אבים,אב,Masc,Plur,True,27
25,אבים,אב,Masc,Sing,True,11
26,אביר,אביר,Masc,Sing,True,2778
28,אבירי,אביר,Masc,Plur,True,1949
29,אבירי,אביר,Masc,Sing,True,7
32,אבל,אבל,Masc,Sing,True,1159
37,אבלי,אבל,Masc,Plur,True,36
38,אבלי,אבל,Masc,Sing,True,13
39,אבלים,אבל,Masc,Plur,True,336
86,אדון,אדון,Masc,Sing,True,2476
87,אדונ,אדון,Masc,Sing,True,386
88,אדונו,אדון,Masc,Sing,True,22
89,אדונות,אדון,Fem,Plur,True,4
90,אדונות,אדון,Fem,Sing,True,7
91,אדוני,אדון,Masc,Plur,True,902
92,אדוני,אדון,Masc,Sing,True,62
93,אדונים,אדון,Masc,Plur,True,563
118,אוגרי,אוגר,Masc,Plur,True,66
119,אוגריים,אוגר,Masc,Plur,True,31
120,אוגרים,אוגר,Masc,Plur,True,263
125,אוז,אוז,Masc,Sing,True,245
196,אח,אח,Fem,Sing,True,27
197,אח,אח,Masc,Sing,True,4638
203,אחווים,אח,Masc,Plur,True,4
207,אחות,אח,Fem,Sing,True,17843
208,אחותי,אח,Fem,Sing,True,27
209,אחי,אח,Masc,Plur,True,120
210,אחי,אח,Masc,Sing,True,29613
211,אחיות,אח,Fem,Plur,True,5584
212,אחיותי,אח,Fem,Plur,True,664
213,אחיותי,אח,Masc,Plur,True,533
217,אחיכ,אח,Masc,Sing,True,4
218,אחים,אח,Masc,Plur,True,14473
236,אילה,אילה,Fem,Sing,True,6
237,אילי,אילה,Masc,Plur,True,207
238,אילי,אילה,Masc,Sing,True,4
239,אילים,אילה,Masc,Plur,True,54
240,אימ,אם,Fem,Sing,True,46
241,אימ,אם,Masc,Sing,True,268
244,אימהות,אם,Fem,Plur,True,949
245,אימהות,אם,Fem,Sing,True,6
260,אינסטלטור,אינסטלטור,Masc,Sing,True,20
261,אינסטלטורים,אינסטלטור,Masc,Plur,True,2
264,איש,איש,Masc,Sing,True,47326
265,אישה,איש,Fem,Sing,True,27532
266,אישה,איש,Masc,Sing,True,2
267,אישיות,אישיות,Fem,Plur,True,118
268,אישיות,אישיות,Fem,Sing,True,6924
269,אישת,איש,Fem,Sing,True,13
285,אל,אל,Masc,Sing,True,9649
286,אלה,אל,Masc,Plur,True,106
287,אלה,אל,Masc,Sing,True,2
288,אלה,אלה,Masc,Sing,True,23
289,אלהי,אלה,Masc,Plur,True,19
290,אלהי,אלה,Masc,Sing,True,12
291,אלהים,אלה,Masc,Plur,True,21
